"","X","Pos","Player","Pts","Bye","week","team","Opponent","OppId","NFLTeam","NFLPos","AltPlayer","AltPos","AltPts","Diff"
"224",224,"BN","Benjamin Cunningham",2,0,2,5,"Screw you,  Goodell",7,"StL","RB","Eddie Lacy","RB",0,2
"284",284,"BN","Doug Martin",4,0,3,6,"Love in an Elevator",9,"TB","RB","Jeremy Hill","RB",2,2
"318",318,"BN","Danny Amendola",2,0,2,7,"Wilfork Island",5,"NE","WR","Roddy White","FLEX",0,2
"319",319,"BN","Scott Chandler",2,0,2,7,"Wilfork Island",5,"NE","TE","Roddy White","FLEX",0,2
"365",365,"BN","Bishop Sankey",4,0,2,8,"+/- 1 PSI",11,"Ten","RB","Rashad Jennings","FLEX",2,2
"379",379,"BN","Lamar Miller",5,0,3,8,"Tom Terrific",12,"Mia","RB","Isaiah Crowell","FLEX",3,2
"381",381,"BN","Rashad Jennings",5,0,3,8,"Tom Terrific",12,"NYG","RB","Isaiah Crowell","FLEX",3,2
"412",412,"BN","Devin Funchess",1,0,2,9,"Coffin Corner Gunners",3,"Car","WR","Keenan Allen","WR",-1,2
"526",526,"BN","Allen Robinson",6,0,3,11,"Richmond Confederates",10,"Jax","WR","Vincent Jackson","WR",4,2
"172",172,"BN","Malcom Floyd",11,0,2,4,"Richmond Confederates",10,"SD","WR","A.J. Green","FLEX",10,1
"192",192,"BN","Heath Miller",1,0,3,4,"What Would Jameis Do?",2,"Pit","TE","","TE",0,1
"252",252,"BN","Ronnie Hillman",4,0,1,6,"Screw you,  Goodell",7,"Den","RB","Frank Gore","RB",3,1
"366",366,"BN","Nelson Agholor",3,0,2,8,"+/- 1 PSI",11,"Phi","WR","Rashad Jennings","FLEX",2,1
"427",427,"BN","Michael Floyd",1,0,3,9,"Boston Bobcatz",6,"Ari","WR","Chris Ivory","FLEX",0,1
"544",544,"BN","Doug Baldwin",3,0,1,12,"FU Roadshow Winnebago",4,"Sea","WR","Rueben Randle","FLEX",2,1
